Time,Last Price,Net Change,Volume,OI,Buy Quantity,Sell Quantity,Buy Sell Diff,Total Bid Qty,Total Offer Qty
2025-11-04 21:10:08,120149,0,63099.0,38869.0,1820,2594,-774,25,11
2025-11-04 21:10:03,120126,0,63080.0,38882.0,1809,2599,-790,28,8
2025-11-04 21:09:58,120150,0,63046.0,38882.0,1836,2575,-739,21,8
2025-11-04 21:09:52,120150,0,63032.0,38882.0,1829,2585,-756,7,8
2025-11-04 21:09:47,120126,0,63000.0,38882.0,1836,2617,-781,10,10
2025-11-04 21:09:42,120070,0,62924.0,38882.0,1823,2649,-826,10,10
2025-11-04 21:09:37,120047,0,62905.0,38882.0,1841,2663,-822,9,11
2025-11-04 21:09:32,120015,0,62885.0,38874.0,1821,2668,-847,12,6
2025-11-04 21:09:27,120000,0,62864.0,38874.0,1813,2688,-875,6,7
2025-11-04 21:09:22,119979,0,62852.0,38874.0,1824,2695,-871,20,11
2025-11-04 21:09:16,119981,0,62841.0,38857.0,1782,2710,-928,15,13
2025-11-04 21:09:11,119999,0,62824.0,38857.0,1797,2699,-902,11,19
2025-11-04 21:09:06,120001,0,62818.0,38857.0,1800,2680,-880,9,20
2025-11-04 21:09:01,120000,0,62816.0,38857.0,1816,2670,-854,10,16
2025-11-04 21:08:56,120000,0,62800.0,38857.0,1803,2679,-876,6,26
2025-11-04 21:08:51,119970,0,62771.0,38857.0,1798,2690,-892,9,10
2025-11-04 21:08:46,119970,0,62770.0,38847.0,1795,2705,-910,13,9
2025-11-04 21:08:41,119973,0,62767.0,38847.0,1802,2695,-893,10,6
2025-11-04 21:08:35,119920,0,62746.0,38847.0,1784,2711,-927,9,7
2025-11-04 21:08:30,119913,0,62744.0,38847.0,1784,2717,-933,9,13
2025-11-04 21:08:25,119913,0,62744.0,38855.0,1791,2709,-918,11,14
2025-11-04 21:08:20,119943,0,62737.0,38855.0,1797,2698,-901,15,6
2025-11-04 21:08:15,119907,0,62733.0,38855.0,1796,2696,-900,13,6
2025-11-04 21:08:10,119906,0,62716.0,38855.0,1780,2706,-926,14,12
2025-11-04 21:08:05,119928,0,62701.0,38857.0,1791,2696,-905,11,8
2025-11-04 21:07:59,119877,0,62688.0,38857.0,1781,2687,-906,13,10
2025-11-04 21:07:54,119870,0,62683.0,38857.0,1788,2700,-912,12,8
2025-11-04 21:07:49,119870,0,62680.0,38857.0,1776,2692,-916,11,8
2025-11-04 21:07:44,119871,0,62670.0,38857.0,1770,2684,-914,12,10
2025-11-04 21:07:39,119889,0,62665.0,38857.0,1780,2682,-902,16,9
2025-11-04 21:07:34,119892,0,62651.0,38857.0,1772,2693,-921,10,8
2025-11-04 21:07:29,119900,0,62645.0,38857.0,1788,2679,-891,11,8
2025-11-04 21:07:23,119900,0,62639.0,38857.0,1773,2684,-911,17,10
2025-11-04 21:07:18,119909,0,62631.0,38840.0,1796,2684,-888,25,7
2025-11-04 21:07:13,119892,0,62628.0,38840.0,1769,2692,-923,14,7
2025-11-04 21:07:08,119900,0,62626.0,38840.0,1762,2699,-937,10,9
2025-11-04 21:07:03,119910,0,62611.0,38840.0,1763,2679,-916,15,13
2025-11-04 21:06:58,119917,0,62597.0,38840.0,1783,2671,-888,11,13
2025-11-04 21:06:53,119956,0,62580.0,38910.0,1761,2661,-900,16,6
2025-11-04 21:06:47,119960,0,62573.0,38910.0,1776,2678,-902,15,13
2025-11-04 21:06:42,119963,0,62553.0,38910.0,1781,2655,-874,10,13
2025-11-04 21:06:37,119999,0,62540.0,38910.0,1773,2647,-874,16,8
2025-11-04 21:06:32,120029,0,62517.0,38910.0,1796,2631,-835,5,6
2025-11-04 21:06:27,120042,0,62503.0,38910.0,1801,2620,-819,10,5
2025-11-04 21:06:22,120079,0,62470.0,38910.0,1816,2594,-778,6,8
2025-11-04 21:06:17,120047,0,62449.0,38910.0,1814,2601,-787,8,5
2025-11-04 21:06:11,120036,0,62433.0,38910.0,1809,2598,-789,11,5
2025-11-04 21:06:06,120045,0,62394.0,38910.0,1797,2609,-812,11,10
2025-11-04 21:06:01,119977,0,62363.0,38910.0,1819,2615,-796,16,11
2025-11-04 21:05:56,120010,0,62326.0,38910.0,1800,2601,-801,12,8
2025-11-04 21:05:50,120020,0,62281.0,38929.0,1816,2612,-796,12,14
2025-11-04 21:05:45,119960,0,62118.0,38929.0,1830,2740,-910,9,15
2025-11-04 21:05:40,119949,0,62087.0,38929.0,1798,2769,-971,19,31
2025-11-04 21:05:34,119940,0,62084.0,38929.0,1802,2770,-968,20,31
2025-11-04 21:05:29,119937,0,62081.0,38929.0,1786,2782,-996,13,9
2025-11-04 21:05:24,119946,0,62074.0,38934.0,1781,2778,-997,11,7
2025-11-04 21:05:19,119924,0,62057.0,38934.0,1776,2765,-989,13,11
2025-11-04 21:05:14,119924,0,62054.0,38934.0,1770,2764,-994,12,7
2025-11-04 21:05:09,119930,0,62039.0,38933.0,1787,2760,-973,18,8
2025-11-04 21:05:04,119904,0,62028.0,38933.0,1782,2763,-981,20,6
2025-11-04 21:04:58,119891,0,62012.0,38933.0,1757,2787,-1030,18,17
2025-11-04 21:04:53,119870,0,62004.0,38933.0,1736,2802,-1066,15,8
2025-11-04 21:04:48,119860,0,62003.0,38933.0,1723,2816,-1093,13,9
2025-11-04 21:04:43,119865,0,62001.0,38925.0,1722,2819,-1097,16,7
2025-11-04 21:04:38,119890,0,61996.0,38925.0,1715,2824,-1109,19,9
2025-11-04 21:04:33,119890,0,61996.0,38925.0,1729,2802,-1073,17,8
2025-11-04 21:04:27,119900,0,61987.0,38925.0,1721,2818,-1097,17,10
2025-11-04 21:04:22,119898,0,61986.0,38933.0,1716,2794,-1078,17,19
2025-11-04 21:04:17,119906,0,61972.0,38933.0,1738,2769,-1031,9,8
2025-11-04 21:04:12,119934,0,61952.0,38933.0,1730,2763,-1033,15,6
2025-11-04 21:04:07,119938,0,61939.0,38933.0,1731,2759,-1028,12,10
2025-11-04 21:04:02,119921,0,61918.0,38933.0,1731,2762,-1031,15,9
2025-11-04 21:03:57,119934,0,61911.0,38933.0,1734,2761,-1027,18,10
2025-11-04 21:03:52,119931,0,61887.0,38933.0,1750,2752,-1002,19,7
2025-11-04 21:03:46,119932,0,61868.0,38933.0,1761,2761,-1000,17,10
2025-11-04 21:03:41,119924,0,61842.0,38969.0,1768,2745,-977,13,7
2025-11-04 21:03:36,119900,0,61797.0,38969.0,1749,2769,-1020,20,36
2025-11-04 21:03:31,119862,0,61760.0,38969.0,1761,2798,-1037,21,17
2025-11-04 21:03:26,119848,0,61738.0,38969.0,1730,2825,-1095,30,11
2025-11-04 21:03:19,119850,0,61729.0,38969.0,1720,2819,-1099,24,10
2025-11-04 21:03:13,119850,0,61726.0,38969.0,1734,2811,-1077,17,10
2025-11-04 21:03:08,119850,0,61712.0,38969.0,1737,2821,-1084,16,19
2025-11-04 21:03:03,119848,0,61708.0,38969.0,1719,2824,-1105,14,23
2025-11-04 21:02:58,119834,0,61703.0,38969.0,1706,2820,-1114,19,17
2025-11-04 21:02:53,119850,0,61692.0,38969.0,1716,2813,-1097,18,13
2025-11-04 21:02:48,119842,0,61681.0,38969.0,1708,2821,-1113,21,15
2025-11-04 21:02:42,119804,0,61662.0,38969.0,1699,2852,-1153,15,14
2025-11-04 21:02:37,119826,0,61654.0,38977.0,1701,2848,-1147,15,19
2025-11-04 21:02:32,119830,0,61652.0,38977.0,1704,2844,-1140,14,20
2025-11-04 21:02:27,119819,0,61646.0,38977.0,1697,2860,-1163,14,13
2025-11-04 21:02:22,119830,0,61643.0,38977.0,1711,2843,-1132,15,16
2025-11-04 21:02:17,119823,0,61631.0,38977.0,1708,2845,-1137,16,27
